year,model,feature_set,seq_len,batch_size,loss,huber_delta,des,model_id,setting,prediction_path,metrics_path,command
2021,PatchTST,A,20,4096,Huber,1.0,market_backbone_baseline,market_2021_20_fsA,long_term_forecast_market_2021_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2021_20_fsA"", ""--model"", ""PatchTST"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2021"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--embed"", ""timeF""]"
2021,TimeMixer,A,20,4096,Huber,1.0,market_backbone_baseline,market_2021_20_fsA,long_term_forecast_market_2021_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2021_20_fsA"", ""--model"", ""TimeMixer"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""3"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2021"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--embed"", ""fixed"", ""--down_sampling_layers"", ""3"", ""--down_sampling_method"", ""avg"", ""--down_sampling_window"", ""2""]"
2021,TimesNet,A,20,4096,Huber,1.0,market_backbone_baseline,market_2021_20_fsA,long_term_forecast_market_2021_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2021_20_fsA"", ""--model"", ""TimesNet"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2021"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--embed"", ""fixed""]"
2021,WPMixer,A,20,4096,Huber,1.0,market_backbone_baseline,market_2021_20_fsA,long_term_forecast_market_2021_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2021_20_fsA"", ""--model"", ""WPMixer"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2021"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--patch_len"", ""16""]"
2021,iTransformer,A,20,4096,Huber,1.0,market_backbone_baseline,market_2021_20_fsA,long_term_forecast_market_2021_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2021_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2021_20_fsA"", ""--model"", ""iTransformer"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2021"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--embed"", ""timeF""]"
2022,PatchTST,A,20,4096,Huber,1.0,market_backbone_baseline,market_2022_20_fsA,long_term_forecast_market_2022_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_PatchTST_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2022_20_fsA"", ""--model"", ""PatchTST"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2022"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--embed"", ""timeF""]"
2022,TimeMixer,A,20,4096,Huber,1.0,market_backbone_baseline,market_2022_20_fsA,long_term_forecast_market_2022_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_TimeMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2022_20_fsA"", ""--model"", ""TimeMixer"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""3"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2022"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--embed"", ""fixed"", ""--down_sampling_layers"", ""3"", ""--down_sampling_method"", ""avg"", ""--down_sampling_window"", ""2""]"
2022,TimesNet,A,20,4096,Huber,1.0,market_backbone_baseline,market_2022_20_fsA,long_term_forecast_market_2022_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_TimesNet_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebfixed_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2022_20_fsA"", ""--model"", ""TimesNet"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2022"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--embed"", ""fixed""]"
2022,WPMixer,A,20,4096,Huber,1.0,market_backbone_baseline,market_2022_20_fsA,long_term_forecast_market_2022_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_WPMixer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2022_20_fsA"", ""--model"", ""WPMixer"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2022"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--patch_len"", ""16""]"
2022,iTransformer,A,20,4096,Huber,1.0,market_backbone_baseline,market_2022_20_fsA,long_term_forecast_market_2022_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/top1_predictions.csv,/huanghb28/aigc/cv_banc/zsw/zhuangcailin/project/Time-Series-Library2/test_results/long_term_forecast_market_2022_20_fsA_iTransformer_market_daily_ftMS_sl20_ll0_pl1_dm128_nh4_el2_dl1_df256_expand2_dc4_fc3_ebtimeF_dtTrue_market_backbone_baseline_0/market_metrics.txt,"[""/huanghb28/aigc/cv_banc/zsw/zhuangcailin/envs2/diffsynth2/bin/python"", ""run.py"", ""--task_name"", ""long_term_forecast"", ""--is_training"", ""1"", ""--model_id"", ""market_2022_20_fsA"", ""--model"", ""iTransformer"", ""--data"", ""market_daily"", ""--root_path"", ""."", ""--data_path"", ""market_daily.parquet"", ""--features"", ""MS"", ""--target"", ""label"", ""--freq"", ""d"", ""--seq_len"", ""20"", ""--label_len"", ""0"", ""--pred_len"", ""1"", ""--enc_in"", ""24"", ""--dec_in"", ""24"", ""--c_out"", ""24"", ""--d_model"", ""128"", ""--d_ff"", ""256"", ""--e_layers"", ""2"", ""--n_heads"", ""4"", ""--factor"", ""3"", ""--dropout"", ""0.1"", ""--learning_rate"", ""0.0003"", ""--train_epochs"", ""2"", ""--patience"", ""2"", ""--batch_size"", ""4096"", ""--num_workers"", ""8"", ""--loss"", ""Huber"", ""--huber_delta"", ""1.0"", ""--gpu"", ""0"", ""--market_fold_year"", ""2022"", ""--market_feature_set"", ""A"", ""--market_cache_path"", ""./cache/market_daily_features_full2010.parquet"", ""--market_start_year"", ""2010"", ""--market_min_history"", ""120"", ""--market_min_avg_amount"", ""20000000.0"", ""--train_mode"", ""fixed_epoch"", ""--market_train_full_window"", ""--des"", ""market_backbone_baseline"", ""--use_amp"", ""--embed"", ""timeF""]"
