combo,size,method,weight_tag,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic,positive_years
dlinear+timemixer+timesnet+wpmixer,4,mean,equal,-1,2340,0.01676502399599664,14.504421900736387,0.8364696180959025,0.0014479222437378705,-0.031029698438599658,9.0
timemixer+timesnet+wpmixer,3,zscore_mean,equal,-1,2340,0.01644183673887071,7.57153914827969,0.8209312835392745,0.0012962508776969966,-0.031313341702755716,8.0
timesnet+wpmixer,2,mean,equal,-1,2340,0.016420694106876327,4.074535819213622,0.8187251625343023,0.0028216103719679174,-0.027926633643416295,8.0
timemixer+timesnet+wpmixer,3,mean,equal,-1,2340,0.016401983467314283,6.735483271979306,0.8189500896882043,0.0012891923105770562,-0.031224832895234853,8.0
timemixer+timesnet+tsmixer+wpmixer,4,mean,equal,-1,2340,0.01630474616790572,3.154535708674101,0.8132320550747951,0.0015866219917437343,-0.030819781267681562,9.0
dlinear+patchtst+timemixer+tsmixer,4,mean,equal,-1,2340,0.015940398496691485,1.36205601402049,0.7967516838726059,-0.000612079722200771,-0.033336445610244216,9.0
timesnet+wpmixer,2,top1_gap,selector,-1,2340,0.01590914720593359,5.936225404548956,0.8027140997522539,0.003671667023255813,-0.02537493858513893,9.0
dlinear+patchtst+timesnet+wpmixer,4,mean,equal,-1,2340,0.015610433063985527,-0.4029105910593763,0.7779876515967026,0.001950552703494622,-0.02986456093643137,9.0
patchtst+timemixer+tsmixer,3,mean,equal,-1,2340,0.015545340813467435,-0.027174898917687873,0.7772320484397618,-0.0007554340747087403,-0.0336155806610712,9.0
dlinear+patchtst+timemixer+timesnet,4,mean,equal,-1,2340,0.015542665621227029,-0.6282424265931474,0.7735842368599835,0.0011918704148678237,-0.031037128005645523,9.0
patchtst+timemixer+timesnet,3,mean,equal,-1,2340,0.01545904825677156,-0.6402440238123815,0.7697118665339239,0.0010497551356323626,-0.03128433692626553,8.0
dlinear+patchtst+timemixer,3,mean,equal,-1,2340,0.015410384761511341,-0.10064280537413361,0.770875475392789,-0.0010636501665755172,-0.033899203888469884,9.0
patchtst+timesnet+wpmixer,3,mean,equal,-1,2340,0.01540547208441369,-0.6343519990602169,0.7677231860295748,0.0018092541369086942,-0.03011186547985623,9.0
patchtst+timemixer+timesnet+wpmixer,4,mean,equal,-1,2340,0.015259612479701425,-0.5620472564451799,0.7611967033758594,0.0008546350144122132,-0.03197160522700775,9.0
patchtst+timemixer,2,zscore_mean,equal,-1,2340,0.015209980553152971,-0.484220980611924,0.7605884574514944,-0.0012232471125390829,-0.034133640219517654,9.0
itransformer+patchtst+timemixer,3,zscore_mean,equal,-1,2340,0.015177199344720215,0.3883578918704229,0.7628764363072026,-0.00022019189047191992,-0.03327249349004527,9.0
itransformer+wpmixer,2,top1_gap,selector,-1,2340,0.015108151118771831,0.10693947018569183,0.7593462125586804,0.0003214858788050453,-0.0313833330748192,9.0
patchtst+timemixer+timesnet,3,zscore_mean,equal,-1,2340,0.01509089881818294,-0.8679999136170008,0.7509691597888793,0.0011474309230099238,-0.031393329700763764,8.0
patchtst+timemixer+timesnet+tsmixer,4,mean,equal,-1,2340,0.015089143851831008,-0.8532040403174841,0.7514737118737254,0.0013612037975406673,-0.030875121274084837,8.0
