code,pick_count,mean_true,mean_pred
SH600198,4,0.033763522500000004,0.015048863749999999
SH600052,3,0.09418882933333333,0.021075055666666665
SZ000692,3,-0.011497943666666668,0.002785756466666667
SZ000889,3,0.08347922333333334,0.008511973300000001
SH600609,2,-0.0489284615,0.0189506645
SH603286,2,-0.042324193499999996,0.0168444555
SZ002729,2,-0.0066056095999999995,0.00514444985
SH600083,1,-0.1015625,0.012930775
SH600721,1,-0.013257576,0.0067414735
SH600727,1,0.06870799,0.017003134
SH601798,1,-0.021546261,0.002046743
SH603315,1,0.024610931,0.0030310862
SH603595,1,-0.003529827,0.002736603
SH603613,1,0.0,0.0017778862
SH603657,1,-0.042307694,0.010426144
SH603665,1,-0.08755631,0.002723495
SH603701,1,-0.005086245,0.0077038384
SZ000659,1,-0.19377583,0.010027247
SZ000710,1,-0.16268429,0.019559434
SZ000737,1,0.059013743,0.024132323
