date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,hit_top1_in_true50,overlap_pred10_true10,overlap_pred10_true20,overlap_pred10_true50,overlap_pred20_true10,overlap_pred20_true20,overlap_pred20_true50,overlap_pred50_true10,overlap_pred50_true20,overlap_pred50_true50
2024-01-02,2783,2782,SZ000692,-0.033707865,0.001585480000000028,0.20687538,0.20687538,0.240583245,-0.0009675273333333336,-0.0216301318,0.00407236035724203,0.0003668465154348305,7.931276450821507,0,0,0,0,0,2,0,0,2,0,1,7
2024-01-03,2788,2787,SH603333,-0.1029106,0.0005060499999999246,0.20669056,0.20669056,0.30960116,-0.08079751033333334,-0.05862717700000001,0.004154251513954936,0.00036524489608174914,7.9330711209451685,0,0,0,0,0,0,0,2,3,1,3,5
2024-01-04,2787,2787,SZ000595,-0.013888889,0.0010203999999999214,0.22803836,0.22803836,0.24192724899999998,-0.09585810133333333,-0.045128182700000005,0.0041367801984781806,0.00036548595282080135,7.93271244707944,0,0,0,1,2,3,1,2,4,2,4,7
2024-01-05,2791,2790,SZ000820,-0.05595238,0.00127996000000008,0.19753498,0.19753498,0.25348736,0.022434154666666664,0.0010116953999999997,0.004033702925194308,0.00036489105126588276,7.93414707729824,0,0,0,2,2,3,2,2,5,3,5,11
2024-01-08,2792,2792,SH603099,0.0984764,0.0010945399999999772,0.20354523,0.20354523,0.10506882999999999,0.054380748666666666,0.0036671591999999976,0.003970524886783786,0.000365020552445043,7.934505557889726,0,0,1,0,1,2,1,2,4,2,4,6
2024-01-09,2787,2787,SH600198,-0.16867469,0.009869699999999981,0.1949918,0.1949918,0.36366648999999995,-0.018348986666666664,-0.013413970639999998,0.004243032276708317,0.0003688762628456783,7.932712001857556,0,0,0,1,1,2,2,3,4,3,6,8
2024-01-10,2788,2786,SH603099,-0.06755895,0.0025817599999999885,0.19764508,0.19764508,0.26520403000000004,0.0008534499999999964,0.0249872628,0.004342529463638033,0.00036618784772896837,7.933070317125107,0,0,0,0,2,2,1,3,4,2,4,11
2024-01-11,2788,2787,SH600744,0.3815029,0.0014789600000000291,0.3815029,0.3815029,0.0,0.15437960333333334,0.060113700000000006,0.004381988524200845,0.00036643733931666797,7.933070147988311,1,1,1,2,3,3,3,4,5,3,5,8
2024-01-12,2787,2786,SH600744,-0.09874477,0.0033777999999999864,0.20607029,0.20607029,0.30481505999999997,0.057041911333333334,0.06729411019999999,0.00433039270298822,0.00036716713025426685,7.932711628109873,0,0,0,2,2,3,2,2,5,4,5,11
2024-01-15,2787,2786,SH600744,-0.070566386,0.004332549999999991,0.21861087,0.21861087,0.289177256,-0.04252445933333333,0.003112121000000001,0.004268293840029758,0.00036699866382129036,7.932711893876819,0,0,0,1,3,4,1,3,5,3,8,11
2024-01-16,2791,2791,SZ000017,0.069424964,0.00013161000000005973,0.2798574,0.2798574,0.21043243599999997,-0.03162253533333333,-0.0652221752,0.004125470507110448,0.0003651478217780888,7.934146701357494,0,1,1,0,1,3,0,1,4,1,3,6
2024-01-17,2792,2791,SZ000017,0.050163936,0.0014103000000000865,0.23047318,0.23047318,0.180309244,-0.008065946333333332,-0.0377213226,0.00405744451375469,0.0003658833718129853,7.934505209372556,0,0,0,0,1,1,2,3,3,2,6,8
2024-01-18,2806,2805,SZ000017,0.1539182,0.008261689999999988,0.17290322,0.17290322,0.01898501999999999,0.020345456,0.0017687638000000022,0.0036560911581662086,0.0003660306313506575,7.939508558739939,1,1,1,2,3,3,2,3,4,3,4,6
2024-01-19,2803,2802,SZ000017,0.13041125,0.0037793999999999883,0.20972973,0.20972973,0.07931848,-0.07242474666666666,-0.110837777,0.004098097944004687,0.0003644756663001826,7.93843713299948,1,1,1,1,1,2,2,3,5,3,5,8
2024-01-22,2813,2812,SH600198,0.08791209,0.00535170000000007,0.2071066,0.2071066,0.11919451,-0.01984923166666667,-0.013744950500000002,0.0037361084466323875,0.00036500402610998206,7.941999817542458,0,0,1,0,0,3,0,0,5,2,3,8
2024-01-23,2817,2816,SH600198,0.08585858,0.004357280000000019,0.28027868,0.28027868,0.19442009999999998,0.060623516666666676,0.025120001000000003,0.003957607561982515,0.00036471273252817825,7.943419925859798,0,0,0,1,1,1,2,2,3,3,5,11
2024-01-24,2822,2819,SH600198,0.2139535,0.01070663999999999,0.21882352,0.21882352,0.004870020000000003,0.13127085833333332,0.10308875420000001,0.003966050831864381,0.0003644341365370676,7.945193255822209,1,1,1,1,1,3,1,1,4,1,1,6
2024-01-25,2822,2820,SH600198,0.07279693,0.012382699999999969,0.2113276,0.2113276,0.13853067000000002,-0.0009834356666666665,-0.0186443106,0.004039469748597735,0.0003651179745938775,7.945192962952678,0,0,1,1,1,2,2,3,4,2,3,8
2024-01-26,2824,2824,SH600198,-0.14285715,0.004137400000000069,0.19125684,0.19125684,0.33411398999999997,-0.12971509166666664,-0.11838697899999999,0.0040389132044981535,0.00036360672021027547,7.945901425012943,0,0,0,1,1,2,1,2,3,3,5,7
2024-01-29,2823,2822,SH600198,-0.20833333,0.008782100000000015,0.19202393,0.19202393,0.40035726000000005,-0.08844952533333333,-0.091514706,0.003833674521924576,0.00036320581377477165,7.945548064820194,0,0,0,0,0,0,1,2,2,1,3,6
2024-01-30,2822,2821,SH600198,-0.23157895,0.008103700000000047,0.19472362,0.19472362,0.42630257,-0.09629243666666669,-0.10243803520000001,0.00384310418285569,0.0003633400895606499,7.945193733194341,0,0,0,1,1,1,1,2,2,3,6,6
2024-01-31,2822,2822,SH600198,-0.10273973,0.010294070000000044,0.24152543,0.24152543,0.34426516,-0.09756593000000001,-0.08981587399999999,0.004239217498940785,0.0003669480095955354,7.945192132563618,0,0,0,0,0,1,0,1,2,2,3,4
