date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,hit_top1_in_true50,overlap_pred10_true10,overlap_pred10_true20,overlap_pred10_true50,overlap_pred20_true10,overlap_pred20_true20,overlap_pred20_true50,overlap_pred50_true10,overlap_pred50_true20,overlap_pred50_true50
2024-01-02,2783,2782,SZ000692,-0.033707865,0.000782570000000038,0.20687538,0.20687538,0.240583245,-0.019484423,-0.0192363218,0.0035008947889671733,0.0003677293594769417,7.931278617959542,0,0,0,0,0,2,0,0,2,1,1,4
2024-01-03,2788,2787,SH603333,-0.1029106,0.0020037899999999498,0.20669056,0.20669056,0.30960116,-0.03802169666666667,-0.04787996792,0.0034492771197630933,0.0003663860703272176,7.933073807121238,0,0,0,0,1,1,0,1,2,0,2,3
2024-01-04,2787,2787,SZ000820,-0.20454545,0.0020267299999999766,0.22803836,0.22803836,0.43258381,-0.09542540633333334,-0.0719379377,0.0035079284203186844,0.0003665348214829546,7.932714860336942,0,0,0,0,1,3,1,2,4,2,4,7
2024-01-05,2791,2790,SZ000820,-0.05595238,0.003505109999999978,0.19753498,0.19753498,0.25348736,0.0023389366666666613,0.03852665279999999,0.0034090824442660535,0.00036647276218238747,7.934149410928537,0,0,0,2,2,2,2,2,5,2,3,8
2024-01-08,2792,2792,SH603099,0.0984764,0.001081100000000057,0.20354523,0.20354523,0.10506882999999999,0.05499668,0.0272740606,0.003247091590411003,0.000365127370040731,7.934508178606347,0,0,1,0,1,3,1,2,4,2,4,8
2024-01-09,2787,2787,SH600198,-0.16867469,0.009904899999999994,0.1949918,0.1949918,0.36366648999999995,-0.060232527733333326,-0.013413970639999998,0.0033236340365858552,0.00036920495391217943,7.932715490229019,0,0,0,1,1,1,2,3,5,4,8,11
2024-01-10,2788,2786,SH603099,-0.06755895,0.00534329999999994,0.19764508,0.19764508,0.26520403000000004,0.0008534499999999964,0.0144393424,0.003365616967385508,0.00036658529480712175,7.933074093165011,0,0,0,0,2,2,1,3,4,3,5,12
2024-01-11,2788,2787,SH600744,0.3815029,0.0012155999999999834,0.3815029,0.3815029,0.0,0.09793862666666668,0.041227508,0.003368561959248121,0.0003664864021001152,7.933074081533412,1,1,1,1,2,2,3,4,6,4,7,9
2024-01-12,2787,2786,SH600744,-0.09874477,0.005162400000000011,0.20607029,0.20607029,0.30481505999999997,0.044231919,0.0314671102,0.00345489712946495,0.0003682861199673234,7.932715043490697,0,0,0,2,2,3,3,3,6,4,5,12
2024-01-15,2787,2786,SH600744,-0.070566386,0.004648199999999991,0.21861087,0.21861087,0.289177256,0.015677701333333332,0.022520883399999997,0.0033897052876916242,0.0003687081906611264,7.932715264350777,0,0,0,1,3,4,1,3,5,3,7,10
2024-01-16,2791,2791,SZ000017,0.069424964,0.0007665500000000325,0.2798574,0.2798574,0.21043243599999997,-0.08880287199999999,-0.0706182156,0.0034080484792732026,0.00036549983758928453,7.934149411608063,0,1,1,0,2,4,0,2,4,2,4,7
2024-01-17,2792,2791,SZ000017,0.050163936,0.00501049000000009,0.23047318,0.23047318,0.180309244,-0.008065946333333332,-0.0770537958,0.00334496809231109,0.0003672125076484722,7.934507854533919,0,0,0,0,0,0,2,3,3,3,7,10
2024-01-18,2806,2805,SZ000017,0.1539182,0.008082550000000022,0.17290322,0.17290322,0.01898501999999999,-0.01842294,-0.0725810832,0.00334898314473011,0.00036776837182799356,7.939509637386532,1,1,1,2,3,3,2,3,4,3,4,5
2024-01-19,2803,2802,SZ000017,0.13041125,0.003380229999999984,0.20972973,0.20972973,0.07931848,-0.03552464333333333,-0.0394922004,0.003334603819697276,0.0003645423413634332,7.938439978748066,1,1,1,2,2,3,2,2,3,3,4,9
2024-01-22,2813,2812,SH600198,0.08791209,0.005978649999999974,0.2071066,0.2071066,0.11919451,-0.01984923166666667,-0.0378957511,0.003642908960402502,0.00036496528146006334,7.942000169032366,0,0,1,0,0,3,0,0,4,0,0,5
2024-01-23,2817,2816,SH603958,0.14819351,0.00040490000000004134,0.28027868,0.28027868,0.13208517,0.06062351666666666,0.0398580324,0.003669496414909008,0.0003655737825650901,7.943421023144065,1,1,1,1,1,1,2,2,5,5,5,10
2024-01-24,2822,2819,SH600198,0.2139535,0.006424129999999972,0.21882352,0.21882352,0.004870020000000003,0.13127085833333332,0.10112431020000001,0.004036604297589391,0.00036413191804531334,7.945192977826732,1,1,1,1,1,3,1,1,6,2,2,8
2024-01-25,2822,2820,SH600198,0.07279693,0.011801199999999956,0.2113276,0.2113276,0.13853067000000002,-0.0009834356666666665,-0.0186443106,0.004125152659301431,0.000366076326523989,7.945192612110182,0,0,1,0,1,2,1,2,5,2,5,13
2024-01-26,2824,2824,SH600198,-0.14285715,0.004466199999999976,0.19125684,0.19125684,0.33411398999999997,-0.13523006666666668,-0.0809534862,0.004180522478308059,0.0003644469889040862,7.945900839518053,0,0,0,1,1,2,2,4,5,3,5,7
2024-01-29,2823,2822,SH600198,-0.20833333,0.006893069999999946,0.19202393,0.19202393,0.40035726000000005,-0.09193287333333333,-0.07963756079999999,0.003729921813159175,0.00036339423598048793,7.945548455405899,0,0,0,1,1,1,1,1,1,1,3,7
2024-01-30,2822,2821,SH600198,-0.23157895,0.0049893899999999825,0.19472362,0.19472362,0.42630257,-0.17558665866666667,-0.14610597919999999,0.003532210362806771,0.000363174254554433,7.945194880339887,0,0,0,1,1,1,1,3,3,3,5,5
2024-01-31,2822,2822,SH600198,-0.10273973,0.00241946000000004,0.24152543,0.24152543,0.34426516,-0.11780754666666667,-0.08981587399999999,0.004183568250919961,0.00036642760736289566,7.945192365000661,0,0,0,0,0,0,0,0,1,1,3,4
2024-02-01,2823,2822,SH600198,-0.030534351,0.01504806000000003,0.14691943,0.14691943,0.17745378099999998,-0.156532847,-0.16354969619999998,0.004304576142148767,0.00036735398391375316,7.945546147070284,0,0,0,0,1,1,1,2,2,3,5,5
2024-02-02,2825,2825,SH600198,-0.48818898,0.01472260000000003,0.13191573,0.13191573,0.62010471,-0.4051340333333333,-0.369652266,0.005528280583328502,0.00037085836276710396,7.946248327136068,0,0,0,0,0,0,0,0,0,0,1,1
2024-02-05,2824,2823,SH600744,0.17028986,0.0018152599999999852,0.27464157,0.27464157,0.10435171000000001,0.09960818666666667,0.0713368532,0.0059714317944758585,0.0003759947206491007,7.945891701831809,0,1,1,0,1,1,2,3,3,4,7,10
2024-02-06,2828,2828,SH600076,-0.1865285,0.005799769999999982,0.23489477,0.23489477,0.42142327,-0.13009603333333333,-0.13242657260000001,0.0059770593258075275,0.00037128141646976926,7.947307124009834,0,0,0,0,0,1,1,1,2,1,2,4
2024-02-07,2833,2831,SH600198,1.6875,0.019095269999999998,1.6875,1.6875,0.0,0.81240437,0.651213712,0.006730818708625827,0.00038203034027250305,7.949068692881178,1,1,1,7,8,8,8,10,12,8,14,17
2024-02-08,2835,2831,SH600198,0.13953489,3.180000000002625e-05,0.20721312,0.20721312,0.06767823,0.10351374333333334,0.09437747960000001,0.006773326573001283,0.0003672902378290947,7.949774228801777,0,1,1,1,2,4,1,2,6,1,3,8
2024-02-19,2836,2834,SH600076,0.055555556,0.0076155100000000475,0.2257251,0.2257251,0.170169544,0.027416155333333334,0.0152964807,0.007043673176815101,0.00036753407395756683,7.950125012966515,0,0,0,1,1,2,1,1,2,1,1,2
2024-02-20,2835,2833,SZ000889,0.11574074,0.000902699999999923,0.2571304,0.2571304,0.14138965999999997,0.11480349666666667,0.10187748920000002,0.006256236207769706,0.00036484137737491064,7.949777577109304,0,0,1,1,2,5,2,3,7,3,8,15
2024-02-21,2837,2835,SH600076,0.014925373,0.0030349299999999912,0.205298,0.205298,0.19037262700000002,0.04090703066666667,0.0608978644,0.006375489727379787,0.000364388086320539,7.950482047877783,0,0,0,2,2,3,3,3,4,3,3,6
2024-02-22,2837,2832,SH600076,0.0992647,0.001636340000000014,0.2747253,0.2747253,0.17546060000000002,0.15916854166666666,0.11180135840000001,0.005523823272201107,0.00036250376046857843,7.950487130978808,0,0,0,2,2,4,3,4,6,3,5,8
2024-02-23,2836,2833,SH600052,0.044267878,0.0007382999999999695,0.22778167,0.22778167,0.183513792,0.004136490333333333,-0.0083540552,0.005761410335742936,0.00036199442927110865,7.950133249029369,0,0,0,0,0,0,0,0,2,1,1,4
2024-02-26,2839,2838,SH600076,0.3043478,0.0018446500000000032,0.3043478,0.3043478,0.0,0.14271190233333333,0.1746800514,0.005813134044064186,0.0003614346172121024,7.95119022784028,1,1,1,3,3,4,5,6,7,5,7,10
