model,fold_year,seq_len,gpu,status,return_code,des,log_path,metrics_path,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic
DLinear,2015,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2015_sl120.log,test_results/long_term_forecast_market_2015_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0018145776120945,-0.2289347052574157,0.3770825896268288,-0.006597388969287,-0.0137109346625291
DLinear,2016,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2016_sl120.log,test_results/long_term_forecast_market_2016_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0021180831827223,0.3143980503082275,0.7518951487695016,-0.0017006978231177,-0.0079015598239093
DLinear,2017,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2017_sl120.log,test_results/long_term_forecast_market_2017_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,-0.0035470905713737,-0.6560689210891724,-1.370582288922015,-0.0010059602003945,-0.0017993636708319
DLinear,2018,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2018_sl120.log,test_results/long_term_forecast_market_2018_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,-0.0030194018036127,-0.6735236644744873,-0.8514999159898213,-0.0028051821597103,-0.003924553496089
DLinear,2019,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2019_sl120.log,test_results/long_term_forecast_market_2019_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,243,0.0009739472297951,-0.7508909702301025,0.1398109117946563,0.0062537386048105,-0.0005855718906333
DLinear,2020,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2020_sl120.log,test_results/long_term_forecast_market_2020_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0067649432457983,0.664631724357605,1.107362461740353,0.0039487161796436,-0.0114329883937923
DLinear,2021,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2021_sl120.log,test_results/long_term_forecast_market_2021_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,242,0.0069850673899054,1.6344420909881592,1.379156745845749,0.0004035269039176,0.0097552492707293
DLinear,2022,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2022_sl120.log,test_results/long_term_forecast_market_2022_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,241,0.0018356323707848,0.3711956739425659,0.8920493102066673,0.0004502614356413,0.020162940262354
DLinear,2023,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2023_sl120.log,test_results/long_term_forecast_market_2023_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,241,-0.000780597445555,-0.2611713409423828,-0.4019304040608423,0.0035694290679266,0.0219656903975806
DLinear,2024,120.0,0.0,done,0.0,market_round1_fsA,logs/market_rerun_dlinear_a01/DLinear_fold2024_sl120.log,test_results/long_term_forecast_market_2024_120_fsA_DLinear_market_daily_ftMS_sl120_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_market_round1_fsA_0/market_metrics.txt,160,-0.0018265942344442,-0.4076010584831238,-0.5598644511153915,-0.0019749092812641,0.0356824790453392
