kind,members,method,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic
pair,itransformer+timemixer,rank_mean,2015,243,0.005002291256781803,0.289410992835885,0.9150265488397057,0.02168632006803521,-0.0007711781549788346
pair,itransformer+timemixer,zscore_mean,2015,243,0.004184923904929951,-0.046941570368592256,0.7256774408023756,0.022943457038075613,-0.000816046053151638
pair,itransformer+timemixer,mean,2015,243,0.004184923904929951,-0.046941570368592256,0.7256774408023756,0.022948257710878304,-0.0008103351946142901
pair,itransformer+timemixer,rank_mean,2016,243,0.0023072701291230796,0.1696048411157296,0.6323869332905531,-0.0006093971099692631,-0.02940286776692417
pair,itransformer+timemixer,zscore_mean,2016,243,0.0007006353896992114,-0.21439600318565277,0.19046792624182948,-0.0019864848205750894,-0.02939173400979897
pair,itransformer+timemixer,mean,2016,243,0.0007006353896992114,-0.21439600318565277,0.19046792624182948,-0.0019915785402504684,-0.029399365519236803
pair,itransformer+timemixer,rank_mean,2017,243,-0.006899767495476686,-0.862333324493198,-2.2178047350172867,-0.010306235920964114,-0.03351598543077033
pair,itransformer+timemixer,mean,2017,243,-0.007258741697945822,-0.874785559258538,-2.3120041296273293,-0.012698874031738803,-0.033680723592331534
pair,itransformer+timemixer,zscore_mean,2017,243,-0.007374218928398496,-0.8784182547096288,-2.344485196079654,-0.012700683189273882,-0.03367583079541461
pair,itransformer+timemixer,rank_mean,2018,242,0.001127509326317622,-0.6261136891677251,0.16676334698996004,-0.004510214023747161,-0.026014289539085304
pair,itransformer+timemixer,zscore_mean,2018,242,-2.811187402786486e-05,-0.7207265907481711,-0.004138065590024749,-0.003304801263989132,-0.025914006586360623
pair,itransformer+timemixer,mean,2018,242,-0.0003581069566724937,-0.7452245874757457,-0.0525080263444886,-0.0033318604771865276,-0.025874892485174966
pair,itransformer+timemixer,rank_mean,2019,243,0.0013296634119373749,-0.8689279260515189,0.15972145452095265,0.0066873086388770315,-0.02765425737440231
pair,itransformer+timemixer,zscore_mean,2019,243,2.291413745177832e-05,-0.966460794323182,0.0025502527543656904,0.0042771167567596914,-0.027836962559226165
pair,itransformer+timemixer,mean,2019,243,-0.0007160476466856009,-0.9769533334840645,-0.0764062649629317,0.0026250306959477872,-0.02750735490795181
pair,itransformer+timemixer,mean,2020,242,0.05365029177134421,15.845177704486332,1.216376294063001,0.005486142454223025,-0.025380656906104533
pair,itransformer+timemixer,zscore_mean,2020,242,0.05337762137878223,14.787596658019314,1.2101703462548783,0.005386547505627585,-0.025432908365737476
pair,itransformer+timemixer,rank_mean,2020,242,0.046480612665996845,3.5936798465239317,1.060705501080063,0.00521215572672597,-0.02520942688744204
pair,itransformer+timemixer,rank_mean,2021,242,0.01765575399045473,0.5431469761490766,1.6062787485847256,-0.0004463413783762257,-0.03732535878268636
pair,itransformer+timemixer,mean,2021,242,0.014426610893512578,-0.438875937798203,1.2730439853716682,0.0031005515351720634,-0.03726135900168484
pair,itransformer+timemixer,zscore_mean,2021,242,0.014097312571198528,-0.47910280988411114,1.2447141393977492,0.003106942460707374,-0.03726667569601502
pair,itransformer+timemixer,mean,2022,241,-0.0031100692446849897,-0.7697158003712878,-0.6361519290116285,-0.010290622341532068,-0.04782920014269857
pair,itransformer+timemixer,zscore_mean,2022,241,-0.003339839340120198,-0.7817986133490911,-0.6839574928546223,-0.010165962800778682,-0.047642783923931016
pair,itransformer+timemixer,rank_mean,2022,241,-0.004233499664311546,-0.8274686627310633,-0.8564084528459133,-0.008923252778020583,-0.04753552565249369
pair,itransformer+timemixer,rank_mean,2023,241,0.005145539802388361,0.8838148992997434,1.1423559201004185,-0.009105171288672408,-0.05596543142818097
pair,itransformer+timemixer,mean,2023,241,0.0037212414244197686,0.20619994042974343,0.7703553699612529,-0.01119305108658841,-0.056019760128778885
pair,itransformer+timemixer,zscore_mean,2023,241,0.0033604403331334615,0.1019880529732462,0.6939381922975673,-0.011090483384873805,-0.05580425028405351
pair,itransformer+timemixer,rank_mean,2024,160,0.04623667595322968,-0.45433941522067056,1.273154558195252,-0.010186319044167159,-0.04818893258709526
pair,itransformer+timemixer,zscore_mean,2024,160,0.04576531310323921,-0.2723149626065706,1.267988059398531,0.0006097029285954583,-0.04828794213355566
pair,itransformer+timemixer,mean,2024,160,0.04508145159698921,-0.35352507117010445,1.2487296470890552,0.0006153126025927574,-0.048356705432544334
pair_aggregate,itransformer+timemixer,rank_mean,-1,2340,0.01018556236670865,-0.9872089586584554,0.5654106767489688,-0.0007138944527021651,-0.03259807616738758
pair_aggregate,itransformer+timemixer,zscore_mean,-1,2340,0.009850585351542695,-0.9987730699063117,0.5431428366675911,-0.00030938922668701077,-0.03264504028325267
pair_aggregate,itransformer+timemixer,mean,-1,2340,0.009828030089771114,-0.9990656429204636,0.5412273935691544,-0.0004969728469839215,-0.0326476172969082
selector,itransformer+timemixer,top1_gap,2015,243,0.003296048060073983,-0.22801567765337527,0.5746926293608584,0.023159403580854436,-0.0005775122670219935
selector,itransformer+timemixer,top1_gap_rank,2015,243,0.0008830956971193429,-0.5456820585427391,0.15830244318774975,0.023839836207063606,0.0005491777050851438
selector,itransformer+timemixer,top1_gap_rank,2016,243,0.00027512410031649596,-0.30204551791811074,0.07351081456638094,-0.0014377067284659147,-0.02885219504202781
selector,itransformer+timemixer,top1_gap,2016,243,-5.239546894276414e-05,-0.3238229815695717,-0.014851110167390182,-0.0018261290663263144,-0.028892628360054164
selector,itransformer+timemixer,top1_gap_rank,2017,243,-0.0038723734890603674,-0.7118302029744831,-1.2439322314067724,-0.011164044275903472,-0.03134670567340557
selector,itransformer+timemixer,top1_gap,2017,243,-0.006146648942186222,-0.8389652988401586,-1.8876495926634196,-0.013929650695885722,-0.03373087005922279
selector,itransformer+timemixer,top1_gap,2018,242,0.0014067291710134577,-0.6165158962420442,0.20446451161950654,-0.004692776300547538,-0.02685461778641655
selector,itransformer+timemixer,top1_gap_rank,2018,242,-0.0019759768433070717,-0.76910517453185,-0.339206166837458,-0.0035184137486478466,-0.024245486121458347
selector,itransformer+timemixer,top1_gap,2019,243,0.024466192290762953,-0.806266576747203,0.9654845170018638,0.006582407636292677,-0.027755645912613477
selector,itransformer+timemixer,top1_gap_rank,2019,243,0.0008377176033333961,-0.8462873572831908,0.11068814183038889,0.005915745898046749,-0.021531399312620117
selector,itransformer+timemixer,top1_gap_rank,2020,242,0.05581134632678972,20.21454680225286,1.2607800349261162,0.007799246667774852,-0.02195229098472944
selector,itransformer+timemixer,top1_gap,2020,242,0.05470123359079024,21.17773857589182,1.2405549621509337,0.0055065969449186085,-0.02413037989991168
selector,itransformer+timemixer,top1_gap_rank,2021,242,0.012531726778889052,-0.5293073551567611,1.1502760466970121,0.004552443438746098,-0.034916169313776745
selector,itransformer+timemixer,top1_gap,2021,242,0.009673968202194835,-0.8154556509477044,0.8593352878245424,0.003268127530573626,-0.036874816620393096
selector,itransformer+timemixer,top1_gap_rank,2022,241,0.003041590804691653,0.032570983121245733,0.6244720774883771,-0.007394159317435916,-0.042035445496239866
selector,itransformer+timemixer,top1_gap,2022,241,-0.0005305584338970843,-0.5816935863331814,-0.10629519901146245,-0.00943729711615245,-0.045964982036330135
selector,itransformer+timemixer,top1_gap_rank,2023,241,0.00435431616641147,0.2739415875555611,0.8572734966746893,-0.009264801986826107,-0.05131558640368097
selector,itransformer+timemixer,top1_gap,2023,241,0.0011030840542952888,-0.3741458756434475,0.22772777910869477,-0.009778012691856302,-0.053501918649197684
selector,itransformer+timemixer,top1_gap_rank,2024,160,0.055431312037604694,0.8150706548013085,1.526506493326997,0.006818301211226592,-0.03957837273286039
selector,itransformer+timemixer,top1_gap,2024,160,0.04522160289386421,-0.44063439858031617,1.2501531287354573,0.0005407358822566448,-0.04518665694057652
selector_aggregate,itransformer+timemixer,top1_gap,-1,2340,0.012193384206910648,-0.9962569839811763,0.6194054146720888,-6.749351311248075e-05,-0.03186578238951569
selector_aggregate,itransformer+timemixer,top1_gap_rank,-1,2340,0.011220635398329834,-0.9226797274673071,0.6204627284666512,0.0014453642545104509,-0.029139626531303975
single,timemixer,single,2015,243,0.004142580230024508,0.009565886288182002,0.7431559619854315,0.021838363805972247,-0.0020067482077473827
single,itransformer,single,2015,243,0.0008830956971193429,-0.5456820585427391,0.15830244318774975,0.023839836207063606,0.0005491777050851438
single,timemixer,single,2016,243,0.0012380543083913187,-0.09175858280129412,0.34167933259267336,-0.002437969183953089,-0.029538527410621546
single,itransformer,single,2016,243,0.00027512410031649596,-0.30204551791811074,0.07351081456638094,-0.0014377067284659147,-0.02885219504202781
single,itransformer,single,2017,243,-0.0038723734890603674,-0.7118302029744831,-1.2439322314067724,-0.011164044275903472,-0.03134670567340557
single,timemixer,single,2017,243,-0.006707043997326821,-0.8594145159870042,-2.0561236880703437,-0.013962502320423818,-0.03452199014154827
single,timemixer,single,2018,242,0.0011818799816895218,-0.6573977929869788,0.16899021675545817,-0.0030439684249140703,-0.02604631750760917
single,itransformer,single,2018,242,-0.0019759768433070717,-0.76910517453185,-0.339206166837458,-0.0035184137486478466,-0.024245486121458347
single,timemixer,single,2019,243,0.025378136795925984,-0.761055531110258,1.0016009043015583,0.0035578611850757983,-0.0313851199413064
single,itransformer,single,2019,243,0.0008377176033333961,-0.8462873572831908,0.11068814183038889,0.005915745898046749,-0.021531399312620117
single,itransformer,single,2020,242,0.05581134632678972,20.21454680225286,1.2607800349261162,0.007799246667774852,-0.02195229098472944
single,timemixer,single,2020,242,0.04512244597808881,2.2159268819496836,1.0296716899331044,0.0024058682811964084,-0.02741264554938596
single,itransformer,single,2021,242,0.012531726778889052,-0.5293073551567611,1.1502760466970121,0.004552443438746098,-0.034916169313776745
single,timemixer,single,2021,242,0.011421988384834894,-0.7341228285182833,1.0050668306855497,0.001514417654950095,-0.038773990473089784
single,itransformer,single,2022,241,0.003041590804691653,0.032570983121245733,0.6244720774883771,-0.007394159317435916,-0.042035445496239866
single,timemixer,single,2022,241,-0.004871137137340115,-0.8497812712780699,-0.9952070315026801,-0.01230956802995127,-0.05090862844611621
single,itransformer,single,2023,241,0.00435431616641147,0.2739415875555611,0.8572734966746893,-0.009264801986826107,-0.05131558640368097
single,timemixer,single,2023,241,7.418788628520336e-05,-0.46076284060957196,0.016324942647533848,-0.01241770957891387,-0.05855348369782175
single,itransformer,single,2024,160,0.055431312037604694,0.8150706548013085,1.526506493326997,0.006818301211226592,-0.03957837273286039
single,timemixer,single,2024,160,0.045646844162604686,-0.48616171419271115,1.2563868993387177,-0.004569433056405783,-0.05314665588704728
single_aggregate,itransformer,single,-1,2340,0.011220635398329834,-0.9226797274673071,0.6204627284666512,0.0014453642545104509,-0.029139626531303975
single_aggregate,timemixer,single,-1,2340,0.011094772696924597,-0.9996244384187944,0.565074273413344,-0.001834336007599184,-0.034566298482177134
