date,code,pred,true
2015-01-05,SZ000670,0.011472904,0.0022779044
2015-01-06,SZ300213,0.011465627,0.050022736
2015-01-07,SH600381,0.07344622,-0.0064272424
2015-01-08,SZ002207,0.009013184,-0.03242075
2015-01-09,SH600665,0.0086711515,0.025423728
2015-01-12,SH600381,0.018255329,0.10786751
2015-01-13,SH600381,0.0162468,0.049986955
2015-01-14,SH600458,0.012819201,-0.04593487
2015-01-15,SZ000008,0.07110628,-0.045876686
2015-01-16,SZ300043,0.009733635,0.09662665
2015-01-19,SZ002189,0.013175787,0.016494846
2015-01-20,SZ002204,0.008365506,0.00628811
2015-01-21,SZ300377,0.01011933,-0.07122405
2015-01-22,SH600599,0.007193864,0.026651436
2015-01-23,SH600727,0.00821996,0.013592233
2015-01-26,SZ300348,0.009609921,-0.036038417
2015-01-27,SH600381,0.030597595,0.06741829
2015-01-28,SH600990,0.011079932,-0.0031131096
2015-01-29,SZ000627,0.09372325,0.04857055
2015-01-30,SH600381,0.056097183,0.019712826
2015-02-02,SH600234,0.016348682,0.050563842
2015-02-03,SZ002306,0.01019938,0.004794247
2015-02-04,SZ000627,0.009020461,0.051002774
2015-02-05,SH600495,0.0116621135,-0.017915905
2015-02-06,SH600839,0.00749951,0.013895544
2015-02-09,SZ002240,0.011465627,0.04837994
2015-02-10,SH600381,0.073853746,-0.011599045
2015-02-11,SZ000059,0.011094485,0.017928287
2015-02-12,SH600381,0.057989277,0.16461022
2015-02-13,SZ002538,0.0065752952,0.052401748
2015-02-16,SH600381,0.019259594,0.01815495
2015-02-17,SH600381,0.06506279,0.002363674
2015-02-25,SH600381,0.054612618,0.01613437
2015-02-26,SH600103,0.005174419,-0.008358209
2015-02-27,SH600381,0.017294727,-0.035630647
2015-03-02,SH600381,0.017818693,0.011274935
2015-03-03,SZ002594,0.007776046,0.1483996
2015-03-04,SH600381,0.0264641,0.0055746143
2015-03-05,SH600837,0.009195116,0.009979708
2015-03-06,SH601788,0.0095007615,0.004852406
2015-03-09,SH600212,0.013321334,-0.032272525
2015-03-10,SH600381,0.024222698,-0.004119421
2015-03-11,SZ002240,0.009602644,0.011863758
2015-03-12,SZ300109,0.014412926,0.009785613
2015-03-13,SH600381,0.034265347,0.085765384
2015-03-16,SH600381,0.014230994,-0.0045672357
2015-03-17,SH600381,0.04069846,-0.002444528
2015-03-18,SZ000601,0.007776046,-0.014260249
2015-03-19,SZ300277,0.0070410413,0.06931702
2015-03-20,SZ000548,0.0047887233,0.02005597
2015-03-23,SZ000058,0.006291481,0.0072202166
2015-03-24,SH603008,0.009202393,-0.0038732397
2015-03-25,SH600381,0.009347939,0.010379373
2015-03-26,SH600381,0.011327359,-0.047982834
2015-03-27,SZ300250,0.009173284,0.03310471
2015-03-30,SZ300248,0.007011932,0.03127546
2015-03-31,SH600185,0.009260612,-0.0008165931
2015-04-01,SZ300363,0.009166007,-0.00077243935
2015-04-02,SZ300162,0.008096247,0.04813344
2015-04-03,SZ002496,0.0072739143,-0.05256333
2015-04-07,SH600381,0.013364997,-0.03587897
2015-04-08,SH600212,0.008511052,0.038631346
2015-04-09,SZ000711,0.0077323825,0.010150444
2015-04-10,SH600381,0.00987918,-0.016441137
2015-04-13,SZ300328,0.010919831,-0.11101905
2015-04-14,SZ002151,0.00899863,0.031964235
2015-04-15,SZ300253,0.010999882,-0.07280742
2015-04-16,SH600381,0.024455572,-0.0373459
2015-04-17,SH600381,0.026260337,0.079774015
2015-04-20,SZ000721,0.0118586,0.029737037
2015-04-21,SH600381,0.054379746,0.0057337014
2015-04-22,SZ000819,0.0066626226,-0.032100305
2015-04-23,SZ000598,0.0075759212,-0.017175736
2015-04-24,SZ300251,0.008030751,-0.06510621
2015-04-27,SZ300005,0.0054800645,0.026641915
2015-04-28,SH603766,0.008605656,0.05396679
2015-04-29,SZ002458,0.009304275,-0.0011873664
2015-04-30,SZ300353,0.011232754,0.089430176
2015-05-04,SH600620,0.010366758,0.023341542
2015-05-05,SH600637,0.010723345,0.013350832
2015-05-06,SZ002469,0.010424976,0.03503216
2015-05-07,SH601390,0.011072654,0.016624685
2015-05-08,SH600725,0.0095808115,7.2229755e-13
2015-05-11,SZ002314,0.0071865865,0.0060544903
2015-05-12,SZ002617,0.010555967,0.0054221535
2015-05-13,SZ002633,0.008838529,-0.012867133
2015-05-14,SZ000796,0.100768514,0.058911484
2015-05-15,SZ300226,0.010075667,0.0017487953
2015-05-18,SZ300380,0.009391602,-0.005232862
2015-05-19,SZ002095,0.012084196,0.027783634
2015-05-20,SZ002285,0.010599631,-0.0036317098
2015-05-21,SZ002482,0.0044648843,0.08390688
2015-05-22,SZ300331,0.009930121,0.05372132
2015-05-25,SZ300248,0.011429241,-0.047939684
2015-05-26,SZ002522,0.0042938683,0.06464197
2015-05-27,SZ002354,0.013430493,0.13050924
2015-05-28,SZ300314,0.019288702,0.0766812
2015-05-29,SZ000910,0.0114801815,0.11000384
2015-06-01,SZ002107,0.011589341,-0.006565531
2015-06-02,SH600604,0.01094894,-0.028812585
2015-06-03,SH601519,0.013772525,-0.033367615
2015-06-04,SZ002426,0.010999882,-0.006120527
2015-06-05,SZ300184,0.015082435,-0.09911894
2015-06-08,SH600990,0.013306779,0.0049602324
