strategy,scenario,buy_cost_bps,sell_cost_bps,num_days,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
gated_q80_left,base,8.0,13.0,1372,0.015718850687712997,28.05244987546921,1.0061327863041558,1192,179,6.956268221574344,11.303935860058308
selector_top1_gap,base,8.0,13.0,1372,0.013188802811154934,0.053437249770884376,0.8633834999998727,1112,259,6.489795918367347,10.545918367346939
timesnet_hbce_a01,base,8.0,13.0,1372,0.01220168116944232,-0.4584447264124196,0.804831601921268,1085,286,6.332361516034985,10.290087463556851
gated_q90_left,base,8.0,13.0,1372,0.011667571245536542,24.041817996817617,1.0971407956650776,1216,155,7.096209912536443,11.53134110787172
dlinear_a01,base,8.0,13.0,1372,0.006261050533443233,1.021339492715927,0.7832214452049433,1257,114,7.335276967930029,11.919825072886297
gated_q80_left,high,12.0,17.0,1372,0.015015032237385336,10.17309042876943,0.9615010195555406,1192,179,10.434402332361516,14.78206997084548
selector_top1_gap,high,12.0,17.0,1372,0.012534206537216012,-0.5680545931934187,0.8208670162329561,1112,259,9.73469387755102,13.790816326530612
timesnet_hbce_a01,high,12.0,17.0,1372,0.011563153564047728,-0.7730890361383149,0.7630342599289445,1085,286,9.498542274052479,13.456268221574344
gated_q90_left,high,12.0,17.0,1372,0.010949786631456482,8.447295877619052,1.0302953857845232,1216,155,10.644314868804665,15.079446064139942
dlinear_a01,high,12.0,17.0,1372,0.005521735151179036,-0.2620647860557095,0.6911975493403278,1257,114,11.002915451895044,15.587463556851311
gated_q80_left,low,5.0,10.0,1372,0.016246882324554082,58.47450083898036,1.0395912528485876,1192,179,4.347667638483965,8.69533527696793
selector_top1_gap,low,5.0,10.0,1372,0.013679897062763123,1.0553784615337944,0.8952569984385776,1112,259,4.0561224489795915,8.112244897959183
timesnet_hbce_a01,low,5.0,10.0,1372,0.012680718382264151,0.03964246585061004,0.8361652122007859,1085,286,3.957725947521866,7.915451895043732
gated_q90_left,low,5.0,10.0,1372,0.012206082813722803,51.008385778472835,1.1472344348481245,1216,155,4.435131195335277,8.870262390670554
dlinear_a01,low,5.0,10.0,1372,0.006815717962895134,3.3026899280272035,0.852180482576394,1257,114,4.584548104956268,9.169096209912537
