date,code,pred,true,gross_return,prev_code,next_code,switch_in,switch_out,entry_cost_bps,exit_cost_bps,net_return
2015-01-05,SZ300250,0.043002654,-0.03033722,-0.03033722,,SH600784,True,True,12.0,17.0,-0.03314726394992884
2015-01-06,SH600784,0.05613805,-0.04842987,-0.04842987,SZ300250,SH600381,True,True,12.0,17.0,-0.05118748217393487
2015-01-07,SH600381,0.07344622,-0.0064272424,-0.0064272424,SH600784,SH600338,True,True,12.0,17.0,-0.00930657650861455
2015-01-08,SH600338,0.048880994,-0.013674198,-0.013674198,SH600381,SZ002488,True,True,12.0,17.0,-0.016532530721163896
2015-01-09,SZ002488,0.07318684,0.070754714,0.070754714,SH600338,SH600381,True,True,12.0,17.0,0.06765170966901635
2015-01-12,SH600381,0.018255329,0.10786751,0.10786751,SZ002488,SZ300226,True,True,12.0,17.0,0.1046569542707203
2015-01-13,SZ300226,0.050362296,0.0013317398,0.0013317398,SH600381,SH601766,True,True,12.0,17.0,-0.0015700795286709424
2015-01-14,SH601766,0.044289697,0.019214703,0.019214703,SZ300226,SZ000008,True,True,12.0,17.0,0.016261059559294022
2015-01-15,SZ000008,0.07110628,-0.045876686,-0.045876686,SH601766,SZ300139,True,True,12.0,17.0,-0.048641697199039435
2015-01-16,SZ300139,0.06453268,0.042747766,0.042747766,SZ000008,SZ002189,True,True,12.0,17.0,0.03972592468404246
2015-01-19,SZ002189,0.013175787,0.016494846,0.016494846,SZ300139,SZ300224,True,True,12.0,17.0,0.013549084596085947
2015-01-20,SZ300224,0.04167593,0.0069067585,0.0069067585,SZ002189,SZ300085,True,True,12.0,17.0,0.003988782990137274
2015-01-21,SZ300085,0.050545048,-0.059273124,-0.059273124,SZ300224,SH601766,True,True,12.0,17.0,-0.061999312857572875
2015-01-22,SH601766,0.048358496,0.025052192,0.025052192,SZ300085,SH601766,True,False,12.0,0.0,0.02382212936959993
2015-01-23,SH601766,0.06152965,-0.024439918,-0.024439918,SH601766,SZ002496,False,True,0.0,17.0,-0.026098370139400084
2015-01-26,SZ002496,0.057334393,-0.07862122,-0.07862122,SH601766,SH600381,True,True,12.0,17.0,-0.08129133884928885
2015-01-27,SH600381,0.030597595,0.06741829,0.06741829,SZ002496,SH600986,True,True,12.0,17.0,0.06432495449231146
2015-01-28,SH600986,0.057569347,-0.026768172,-0.026768172,SH600381,SZ000627,True,True,12.0,17.0,-0.029588558908270945
2015-01-29,SZ000627,0.09372325,0.04857055,0.04857055,SH600986,SH600381,True,True,12.0,17.0,0.04553183448892195
2015-01-30,SH600381,0.056097183,0.019712826,0.019712826,SZ000627,SZ000627,True,True,12.0,17.0,0.016757739018764983
2015-02-02,SZ000627,0.0739322,-0.007526366,-0.007526366,SH600381,SZ000627,True,False,12.0,0.0,-0.008717334360800022
2015-02-03,SZ000627,0.07034356,-0.0775733,-0.0775733,SZ000627,SZ000627,False,False,0.0,0.0,-0.07757329999999996
2015-02-04,SZ000627,0.04992439,0.051002774,0.051002774,SZ000627,SH600495,False,True,0.0,17.0,0.04921606928420008
2015-02-05,SH600495,0.0116621135,-0.017915905,-0.017915905,SZ000627,SH601519,True,True,12.0,17.0,-0.02076194542394616
2015-02-06,SH601519,0.069482245,-0.049349334,-0.049349334,SH600495,SH601519,True,False,12.0,0.0,-0.05049011479919996
2015-02-09,SH601519,0.07228085,0.1744,0.1744,SH601519,SH600381,False,True,0.0,17.0,0.1724035199999998
2015-02-10,SH600381,0.073853746,-0.011599045,-0.011599045,SH601519,SH601519,True,True,12.0,17.0,-0.014463391431551731
2015-02-11,SH601519,0.05624469,0.012537764,0.012537764,SH600381,SH600381,True,True,12.0,17.0,0.009603470061438468
2015-02-12,SH600381,0.057989277,0.16461022,0.16461022,SH601519,SH601519,True,True,12.0,17.0,0.1612352261668486
2015-02-13,SH601519,0.05790683,0.006415038,0.006415038,SH600381,SH601519,True,False,12.0,0.0,0.0052073399544001475
2015-02-16,SH601519,0.061969444,-0.04669434,-0.04669434,SH601519,SH600381,False,True,0.0,17.0,-0.04831495962199994
2015-02-17,SH600381,0.06506279,0.002363674,0.002363674,SH601519,SH600381,True,False,12.0,0.0,0.0011608375912000035
2015-02-25,SH600381,0.054612618,0.01613437,0.01613437,SH600381,SH601519,False,True,0.0,17.0,0.014406941570999976
2015-02-26,SH601519,0.050095294,0.09010891,0.09010891,SH600381,SH600381,True,True,12.0,17.0,0.08694981798317647
2015-02-27,SH600381,0.017294727,-0.035630647,-0.035630647,SH601519,SH600381,True,False,12.0,0.0,-0.03678789022359996
2015-03-02,SH600381,0.017818693,0.011274935,0.011274935,SH600381,SZ002195,False,True,0.0,17.0,0.009555767610500032
2015-03-03,SZ002195,0.05558438,-0.027505936,-0.027505936,SH600381,SH601519,True,True,12.0,17.0,-0.030324184897709383
2015-03-04,SH601519,0.068123415,-0.055270102,-0.055270102,SZ002195,SH601519,True,False,12.0,0.0,-0.05640377787759998
2015-03-05,SH601519,0.04772168,0.04409819,0.04409819,SH601519,SZ000626,False,True,0.0,17.0,0.04232322307699987
2015-03-06,SZ000626,0.052382596,-0.031805426,-0.031805426,SH601519,SH600318,True,True,12.0,17.0,-0.03461121514766907
2015-03-09,SH600318,0.05917392,-0.044378698,-0.044378698,SZ000626,SH600381,True,True,12.0,17.0,-0.047148050308344014
2015-03-10,SH600381,0.024222698,-0.004119421,-0.004119421,SH600318,SZ002240,True,True,12.0,17.0,-0.007005443082718887
2015-03-11,SZ002240,0.009602644,0.011863758,0.011863758,SH600381,SZ300081,True,True,12.0,17.0,0.008931417303866374
2015-03-12,SZ300081,0.07044852,0.11809754,0.11809754,SZ002240,SH600381,True,True,12.0,17.0,0.1148573380529816
2015-03-13,SH600381,0.034265347,0.085765384,0.085765384,SZ300081,SZ300343,True,True,12.0,17.0,0.08261887934778334
2015-03-16,SZ300343,0.053872548,-0.01256526,-0.01256526,SH600381,SH600381,True,True,12.0,17.0,-0.015426806379130409
2015-03-17,SH600381,0.04069846,-0.002444528,-0.002444528,SZ300343,SZ000601,True,True,12.0,17.0,-0.005335403855637022
2015-03-18,SZ000601,0.007776046,-0.014260249,-0.014260249,SH600381,SZ300081,True,True,12.0,17.0,-0.01711688336880801
2015-03-19,SZ300081,0.04825087,-0.0040680473,-0.0040680473,SZ000601,SZ300343,True,True,12.0,17.0,-0.006954218261646439
2015-03-20,SZ300343,0.05486058,0.07677115,0.07677115,SZ300081,SZ002312,True,True,12.0,17.0,0.07365071027814585
2015-03-23,SZ002312,0.052118614,0.011624171,0.011624171,SZ300343,SZ300159,True,True,12.0,17.0,0.008692524617408992
2015-03-24,SZ300159,0.051717415,0.099285565,0.099285565,SZ002312,SZ300081,True,True,12.0,17.0,0.09609987940405262
2015-03-25,SZ300081,0.049443364,-0.051635113,-0.051635113,SZ300159,SH600381,True,True,12.0,17.0,-0.05438343650793065
2015-03-26,SH600381,0.011327359,-0.047982834,-0.047982834,SZ300081,SZ300159,True,True,12.0,17.0,-0.05074174166638146
2015-03-27,SZ300159,0.058354277,0.034611538,0.034611538,SH600381,SZ300159,True,False,12.0,0.0,0.03337000415440006
2015-03-30,SZ300159,0.08597552,0.0709037,0.0709037,SZ300159,SZ300159,False,False,0.0,0.0,0.0709036999999999
2015-03-31,SZ300159,0.055600323,0.14274107,0.14274107,SZ300159,SZ300159,False,False,0.0,0.0,0.14274107000000003
2015-04-01,SZ300159,0.06135398,-0.0292065,-0.0292065,SZ300159,SZ300159,False,False,0.0,0.0,-0.029206500000000024
2015-04-02,SZ300159,0.06260404,0.03629754,0.03629754,SZ300159,SZ002625,False,True,0.0,17.0,0.034535834182000125
2015-04-03,SZ002625,0.049655426,0.09931507,0.09931507,SZ300159,SH600381,True,True,12.0,17.0,0.09612929889974287
2015-04-07,SH600381,0.013364997,-0.03587897,-0.03587897,SZ002625,SZ300159,True,True,12.0,17.0,-0.03867295418009875
2015-04-08,SZ300159,0.06649248,-0.011273895,-0.011273895,SH600381,SZ300131,True,True,12.0,17.0,-0.01413918370324585
2015-04-09,SZ300131,0.067187674,7.2229755e-13,7.2229755e-13,SZ300159,SH600381,True,True,12.0,17.0,-0.0028979599992797755
2015-04-10,SH600381,0.00987918,-0.016441137,-0.016441137,SZ300131,SZ300328,True,True,12.0,17.0,-0.01929145124261955
2015-04-13,SZ300328,0.010919831,-0.11101905,-0.11101905,SH600381,SZ002044,True,True,12.0,17.0,-0.11359528123386209
2015-04-14,SZ002044,0.06402246,0.09832636,0.09832636,SZ300328,SZ002044,True,False,12.0,0.0,0.09700836836799986
2015-04-15,SZ002044,0.06668792,-0.10511905,-0.10511905,SZ002044,SH600381,False,True,0.0,17.0,-0.10664034761500008
2015-04-16,SH600381,0.024455572,-0.0373459,-0.0373459,SZ002044,SZ002044,True,True,12.0,17.0,-0.04013563307563606
2015-04-17,SZ002044,0.08745616,-0.011225688,-0.011225688,SH600381,SZ002044,True,False,12.0,0.0,-0.012412217174399998
2015-04-20,SZ002044,0.063429184,0.117227726,0.117227726,SZ002044,SH600381,False,True,0.0,17.0,0.11532843886580002
2015-04-21,SH600381,0.054379746,0.0057337014,0.0057337014,SZ002044,SZ002044,True,True,12.0,17.0,0.0028191253626907997
2015-04-22,SZ002044,0.07031209,-0.0064781364,-0.0064781364,SH600381,SZ000598,True,True,12.0,17.0,-0.00935732301983827
2015-04-23,SZ000598,0.0075759212,-0.017175736,-0.017175736,SZ002044,SZ002044,True,True,12.0,17.0,-0.020023921404101364
2015-04-24,SZ002044,0.0632711,-0.101113416,-0.101113416,SZ000598,SZ002625,True,True,12.0,17.0,-0.10371835336496871
2015-04-27,SZ002625,0.07570321,0.06176951,0.06176951,SZ002044,SH603003,True,True,12.0,17.0,0.05869254443080041
2015-04-28,SH603003,0.05871646,-0.028603794,-0.028603794,SZ002625,SZ300059,True,True,12.0,17.0,-0.03141886134913985
2015-04-29,SZ300059,0.065542586,-0.12857428,-0.12857428,SH603003,SH603003,True,True,12.0,17.0,-0.1310996368795312
2015-04-30,SH603003,0.07185562,-0.076008126,-0.076008126,SZ300059,SZ300059,True,True,12.0,17.0,-0.07868581749117698
2015-05-04,SZ300059,0.08352137,-0.029210621,-0.029210621,SH603003,SZ002261,True,True,12.0,17.0,-0.03202392978876689
2015-05-05,SZ002261,0.082256004,0.0724364,0.0724364,SZ300059,SZ002517,True,True,12.0,17.0,0.06932852221025598
2015-05-06,SZ002517,0.09209676,0.10285714,0.10285714,SZ002261,SZ000796,True,True,12.0,17.0,0.09966110412256568
2015-05-07,SZ000796,0.074674144,0.22880189,0.22880189,SZ002517,SZ002517,True,True,12.0,17.0,0.2252408712748557
2015-05-08,SZ002517,0.071729764,-0.07093161,-0.07093161,SZ000796,SZ002517,True,False,12.0,0.0,-0.07204649206800007
2015-05-11,SZ002517,0.06766477,0.001826484,0.001826484,SZ002517,SZ000796,False,True,0.0,17.0,0.0001233789771999394
2015-05-12,SZ000796,0.054923225,-0.119915076,-0.119915076,SZ002517,SZ002633,True,True,12.0,17.0,-0.12246552690635504
2015-05-13,SZ002633,0.008838529,-0.012867133,-0.012867133,SZ000796,SZ000796,True,True,12.0,17.0,-0.01572780456325129
2015-05-14,SZ000796,0.100768514,0.058911484,0.058911484,SZ002633,SZ002491,True,True,12.0,17.0,0.05584280087582738
2015-05-15,SZ002491,0.08251854,0.04145741,0.04145741,SZ000796,SZ002421,True,True,12.0,17.0,0.03843930808411633
2015-05-18,SZ002421,0.08103011,0.028805673,0.028805673,SZ002491,SZ300348,True,True,12.0,17.0,0.025824235311872945
2015-05-19,SZ300348,0.08483248,-0.10195315,-0.10195315,SZ002421,SZ300348,True,False,12.0,0.0,-0.10303080622000005
2015-05-20,SZ300348,0.077657185,-0.11210762,-0.11210762,SZ300348,SZ300348,False,False,0.0,0.0,-0.11210761999999996
