year,model,top1_mean,top1_sharpe,top3_mean,top5_mean,ic,rank_ic,unique,max_rep,debias015_top1_mean,num_days,annual_cum_return,group,variant
2021,Transformer,0.0020258901575619,0.5032265847246916,0.0052730559283057,0.0042053199193223,0.0148758494003016,0.0218433384656157,95,30,0.0009861198622314,242,0.0123829620332152,,transformer_headreg
2021,Transformer,-0.0013873894880165,-0.4558086834722158,0.0025283808431129,0.0033997518033801,0.0183033391000946,0.0319294048011422,162,5,-0.0017170786855371,242,-0.4693252305550828,,transformer_stage2topheavy
2021,Transformer,0.0125548326136363,1.3814404810870629,0.011496116885055,0.0083404708015289,0.0187995877235658,0.015642907902257,113,28,0.0093573986520661,242,1.5080622656923994,,transformer_stage2topheavy_topk
2021,TimesNet,0.041298720857438,1.9691888083662437,0.0218515912588843,0.0154605469805041,0.0208702122246897,-0.0178588469802013,20,123,0.0438033504524793,242,4.965689965173187,baseline_before,baseline_before
2021,TimesNet,0.0067787310258264,2.458572766119794,0.0052093520900826,0.0032064864432975,0.0090938397654901,0.0179452167138537,211,4,0.0068608238225206,242,3.0875427210159785,modified_stage2topheavy_topk,modified_stage2topheavy_topk
2021,TimeMixer,0.0389660358987603,1.8496377373251205,0.0182282052206611,0.0129209350378595,0.0068079913091531,-0.0387328235020871,11,146,0.0372244702747933,242,1.9905497066487208,baseline_before,baseline_before
2021,TimeMixer,,,,,,,,,,,,NA,modified_stage2topheavy_topk
2021,WPMixer,0.0386634464419834,1.8375781617087792,0.0174038108671625,0.0134471603067024,0.0066573137164863,-0.0384031954280518,13,146,0.0383244504049586,242,1.873409049867131,baseline_before,baseline_before
2021,WPMixer,0.0002698812914876,0.1471424258143293,0.0004603135400413,0.0003365561722809,0.0078997585661059,0.0225605147750479,230,2,-0.0008037337791735,242,-0.0374188150421461,modified_stage2topheavy_topk,modified_stage2topheavy_topk
2021,PatchTST,0.0374424276880165,1.7791544363827336,0.0177717462318181,0.0129384830797851,0.0071479261308836,-0.0380474308725549,11,148,0.0387587475056198,242,1.146403832894126,baseline_before,baseline_before
2021,PatchTST,0.0027352254837751,1.4808190448511505,0.0029494240880012,0.002801370806992,0.0100452823381342,0.0124026707003104,225,3,,242,0.7467087507247925,modified_stage2topheavy_topk,modified_stage2topheavy_topk
2021,iTransformer,0.0345794225785123,1.650211892877251,0.0173607416125068,0.011386340923595,0.0091726255551962,-0.0330994899627712,17,137,0.0389037253413223,242,0.1875688534547845,baseline_before,baseline_before
2021,iTransformer,0.0038052410547933,2.235856386915097,0.0015813344618044,0.0004723815134876,0.0037818556657636,0.0069158450682318,228,3,0.0037830501477685,242,1.2993157857285191,modified_stage2topheavy_topk,modified_stage2topheavy_topk
2022,Transformer,0.0040125509522821,1.1305076207090436,0.0019645583487966,0.0004546378172448,0.0369922983640612,0.0421059263726116,134,31,-3.728465477178374e-05,241,0.8075928376833428,,transformer_headreg
2022,Transformer,-0.0027533090101244,-0.9460385454106538,0.0003727717439419,0.0002499990072614,0.0430287904193455,0.0513603631668768,172,10,-0.0036773333453941,241,-0.6035473511575156,,transformer_stage2topheavy
2022,Transformer,0.0005680313037344,0.1269953480946315,0.0026471015958644,0.0010250376834771,0.0347376828354953,0.0349365705261082,94,35,-0.0013306810487551,241,-0.3834314335035091,,transformer_stage2topheavy_topk
2022,TimesNet,0.0029064805219917,0.6361206140026809,0.0025957147100968,0.0019582745976348,0.008761883400724,-0.0207878475686431,26,82,0.004711869759751,241,0.0676729345186459,baseline_before,baseline_before
2022,TimesNet,,,,,,,,,,,,NA,modified_stage2topheavy_topk
2022,TimeMixer,-0.0030356947804979,-0.6189499316233965,-0.0030953779280359,-0.0021969004832531,-0.0107706667134396,-0.0522733523249135,16,61,-0.0013424091879668,241,-0.7639513775993274,baseline_before,baseline_before
2022,TimeMixer,,,,,,,,,,,,NA,modified_stage2topheavy_topk
2022,WPMixer,-0.0081853472809128,-1.620830380432451,-0.0032518455731258,-0.002572903498307,-0.0113849686687228,-0.053294950370897,15,68,-0.0026037424887966,241,-0.9359664750646072,baseline_before,baseline_before
2022,WPMixer,,,,,,,,,,,,NA,modified_stage2topheavy_topk
2022,PatchTST,-0.008317809353112,-1.6629638263016573,-0.0041576549768603,-0.0030852200698423,-0.0110658283998372,-0.0529207242809118,18,57,-0.0062520114705394,241,-0.9378301418546272,baseline_before,baseline_before
