date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,overlap_pred10_true10,overlap_pred10_true20,overlap_pred20_true10,overlap_pred20_true20
2025-09-26,2820,2820,SH600200,-0.2699115,0.006260799999999955,0.21260962,0.21260962,0.48252112,-0.024531863333333348,-0.022591726200000006,0.0038876744643165056,0.0003655557853242637,7.944484585910647,0,0,1,1,1,2
2025-09-30,2821,2820,SZ002513,-0.22483122,0.001095200000000074,0.25172412,0.25172412,0.47655534,-0.030859214666666666,-0.0174099156,0.0038208690008822003,0.0003636095939296697,7.944839397340873,0,0,1,1,1,3
2025-01-02,2816,2815,SZ000759,-0.22204587,0.002409099999999942,0.21021126,0.21021126,0.43225713,-0.13714039333333333,-0.09886248680000001,0.004229757397117901,0.00036385768738046666,7.94306374291176,0,0,1,1,1,1
2025-03-27,2806,2806,SH600610,-0.18969887,0.003275839999999919,0.22308041,0.22308041,0.41277927999999997,-0.10416804133333334,-0.071108298,0.004206719580293662,0.0003660298318642764,7.939506391221912,0,0,0,0,0,0
2025-01-17,2794,2793,SH603177,-0.18656716,0.0024458400000000324,0.23642612,0.23642612,0.42299328,-0.11393742333333333,-0.0911935792,0.004884555066985184,0.00036827284368423115,7.935217576225522,0,0,0,0,1,2
2025-02-28,2795,2795,SH600076,-0.17942584,0.010489100000000029,0.17619328,0.17619328,0.35561912,-0.18712038666666667,-0.137538086,0.004312571573067376,0.00037180349947379227,7.935578053248472,0,0,0,0,0,0
2025-09-12,2824,2824,SH600200,-0.17906336,0.008060040000000046,0.18136439,0.18136439,0.36042775,-0.025300915000000004,-0.024304441200000002,0.004153417219894109,0.00036406556084466325,7.945900954341187,0,0,0,0,0,0
2025-08-13,2810,2810,SH600200,-0.16795866,0.0041262300000000085,0.15538552,0.15538552,0.32334418,-0.08087112033333334,-0.0479356458,0.004151326214826462,0.0003650892829522059,7.940931125767051,0,0,0,0,2,2
2025-08-28,2824,2824,SH600200,-0.16735537,0.015341600000000066,0.21114276,0.21114276,0.37849813,-0.09049549109999999,-0.04861563745999999,0.003933646592475096,0.00036644652817441716,7.945901843609368,0,0,0,0,1,1
2025-04-03,2811,2810,SH600136,-0.15458937,0.0030247399999999702,0.17691794,0.17691794,0.33150731,-0.057932950000000004,-0.0087399272,0.00436813230640151,0.0003652360604128299,7.94128600655973,0,0,1,3,2,4
2025-05-19,2807,2805,SZ002651,-0.15218934,0.0018051999999999513,0.31458968,0.31458968,0.46677902,-0.10469626266666666,-0.0751639712,0.004553398508662362,0.0003658517661565331,7.939861182729951,0,0,0,0,1,1
2025-04-01,2809,2809,SZ000953,-0.14927536,0.0008602100000000279,0.19890368,0.19890368,0.34817904,-0.09612056333333334,-0.059985469199999995,0.004104614984540533,0.00036348158744525837,7.9405753880411645,0,0,0,0,0,1
2025-11-27,2818,2817,SZ002264,-0.14516129,0.002391799999999944,0.2534819,0.2534819,0.39864319,0.08921866,0.060287325200000005,0.004116408651237739,0.0003646986131307896,7.943774195845123,0,0,3,3,4,4
2025-01-03,2816,2814,SH600693,-0.14428881,0.007876400000000006,0.2352438,0.2352438,0.37953261,-0.12162505000000001,-0.093411716,0.004611118284838912,0.0003667204583450625,7.9430620500859686,0,0,0,0,1,1
2025-04-29,2778,2775,SH600744,-0.14414415,0.0075584999999999125,0.20295668,0.20295668,0.34710083,-0.07002070333333334,-0.060730639600000004,0.004425700048466208,0.00037111990527123373,7.929476705338204,0,0,0,0,0,0
