year,worst10_mean_top1,worst10_mean_best_true,worst10_mean_gap,worst10_hit_true20_rate,worst10_hit_true10_rate,worst10_top3_mean,worst10_top5_mean
2015,-0.14841483139999995,0.166149287,0.3145641184,0.0,0.0,-0.08414058109999999,-0.08586564558599999
2016,-0.1116006486,0.140366782,0.25196743059999993,0.0,0.0,-0.05287921431999999,-0.038577310377999996
2017,-0.125876657,0.14647513809999999,0.2723517951,0.0,0.0,-0.05296289320000001,-0.045835176261999996
2018,-0.319868131,0.20710931000000002,0.5269774409999999,0.0,0.0,-0.12386486726666668,-0.084835911774
2019,-0.30675618499999996,0.330046181,0.636802366,0.0,0.0,-0.09021645855333334,-0.052812581872
2020,-0.328892635,0.256667018,0.585559653,0.0,0.0,-0.11641114576666667,-0.07417166511999998
2021,-0.49090197500000005,0.193858904,0.684760879,0.0,0.0,-0.17097339516666668,-0.10162662765599999
2022,-0.17977297500000003,0.21195208799999996,0.391725063,0.0,0.0,-0.06118257189333333,-0.047764561476
2023,-0.192175418,0.19266911299999998,0.384844531,0.0,0.0,-0.08063177646666667,-0.049233380366
2024,-0.5171165590000001,0.19779695300000003,0.7149135120000001,0.0,0.0,-0.22131912505000004,-0.17164788700000003
2025,-0.19546660700000001,0.205832998,0.401299605,0.0,0.0,-0.07890751203333334,-0.062984167526
