strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
wpmixer+timemixer+timesnet::combo::zscore_mean,wpmixer+timemixer+timesnet,3,combo,zscore_mean,base,2340,0.01644183673887071,7.57153914827969,0.8209312835392745,0.015757376251700133,0.7616826230131788,0.7869906321196117,752,1587,2.5743589743589745,4.183333333333334
wpmixer+timemixer+timesnet::combo::mean,wpmixer+timemixer+timesnet,3,combo,mean,base,2340,0.016401983467314283,6.735483271979306,0.8189500896882043,0.01571943223621352,0.5931946288196244,0.7850967242602942,751,1588,2.570940170940171,4.177777777777778
wpmixer+timesnet::combo::mean,wpmixer+timesnet,2,combo,mean,base,2340,0.016420694106876327,4.074535819213622,0.8187251625343023,0.015561148020564068,-0.2973961495947597,0.7766314341882037,940,1399,3.217094017094017,5.227777777777778
wpmixer+timesnet::selector::top1_gap,wpmixer+timesnet,2,selector,top1_gap,base,2340,0.01590914720593359,5.936225404548956,0.8027140997522539,0.014934689482906929,-0.2813639750994985,0.7537196604779752,1078,1261,3.688888888888889,5.9944444444444445
patchtst+timesnet::gated::gated_q50_left,patchtst+timesnet,2,gated,gated_q50_left,base,2340,0.015577821592895055,-0.4367334341842264,0.7763374933907932,0.014910187928775923,-0.8797712653285247,0.7435505033856558,734,1605,2.5128205128205128,4.083333333333333
patchtst+timemixer+timesnet::combo::mean,patchtst+timemixer+timesnet,3,combo,mean,base,2340,0.01545904825677156,-0.6402440238123815,0.7697118665339239,0.014816122369293637,-0.919068900763321,0.7379067956055333,709,1630,2.427350427350427,3.9444444444444446
patchtst+timemixer::combo::zscore_mean,patchtst+timemixer,2,combo,zscore_mean,base,2340,0.015209980553152971,-0.484220980611924,0.7605884574514944,0.014793527718678246,-0.8033858326531382,0.739952681412486,458,1881,1.5692307692307692,2.55
patchtst+wpmixer+timesnet::combo::mean,patchtst+wpmixer+timesnet,3,combo,mean,base,2340,0.01540547208441369,-0.6343519990602169,0.7677231860295748,0.01475771242978288,-0.9184318661434163,0.7356545960701449,713,1626,2.4410256410256412,3.966666666666667
patchtst+wpmixer+timemixer+timesnet::combo::mean,patchtst+wpmixer+timemixer+timesnet,4,combo,mean,base,2340,0.015259612479701425,-0.5620472564451799,0.7611967033758594,0.014678341593490261,-0.8865841290493479,0.732395418797786,642,1697,2.1982905982905985,3.5722222222222224
itransformer+patchtst+timemixer::combo::zscore_mean,itransformer+patchtst+timemixer,3,combo,zscore_mean,base,2340,0.015177199344720215,0.3883578918704229,0.7628764363072026,0.01459663457260733,-0.6389452493613959,0.7338884884894848,640,1699,2.1914529914529917,3.561111111111111
patchtst+timemixer::combo::mean,patchtst+timemixer,2,combo,mean,base,2340,0.014984178949951936,-0.6892915204318286,0.7493504307755923,0.014560033265493981,-0.8837771504584465,0.7283236480113046,467,1872,1.6,2.6
itransformer+patchtst::gated::gated_q50_left,itransformer+patchtst,2,gated,gated_q50_left,base,2340,0.015363491782920242,0.22311338860017016,0.7683291662907992,0.014526711059999949,-0.8218927831019596,0.7272089753318192,916,1423,3.135042735042735,5.094444444444444
