strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
wpmixer+timesnet::combo::mean,wpmixer+timesnet,2,combo,mean,base,2340,0.016420694106876327,4.074535819213622,0.8187251625343023,0.015561148020564068,-0.2973961495947597,0.7766314341882037,940,1399,3.217094017094017,5.227777777777778
wpmixer+timesnet::selector::top1_gap,wpmixer+timesnet,2,selector,top1_gap,base,2340,0.01590914720593359,5.936225404548956,0.8027140997522539,0.014934689482906929,-0.2813639750994985,0.7537196604779752,1078,1261,3.688888888888889,5.9944444444444445
patchtst+timesnet::gated::gated_q50_left,patchtst+timesnet,2,gated,gated_q50_left,base,2340,0.015577821592895055,-0.4367334341842264,0.7763374933907932,0.014910187928775923,-0.8797712653285247,0.7435505033856558,734,1605,2.5128205128205128,4.083333333333333
itransformer+patchtst::gated::gated_q50_left,itransformer+patchtst,2,gated,gated_q50_left,base,2340,0.015363491782920242,0.22311338860017016,0.7683291662907992,0.014526711059999949,-0.8218927831019596,0.7272089753318192,916,1423,3.135042735042735,5.094444444444444
patchtst+timemixer::combo::zscore_mean,patchtst+timemixer,2,combo,zscore_mean,base,2340,0.015209980553152971,-0.484220980611924,0.7605884574514944,0.014793527718678246,-0.8033858326531382,0.739952681412486,458,1881,1.5692307692307692,2.55
itransformer+wpmixer::selector::top1_gap,itransformer+wpmixer,2,selector,top1_gap,base,2340,0.015108151118771831,0.10693947018569183,0.7593462125586804,0.014316289404339098,-0.8246766901253302,0.7197236337102068,876,1463,2.9982905982905983,4.872222222222222
patchtst+timesnet::selector::top1_gap,patchtst+timesnet,2,selector,top1_gap,base,2340,0.015020835247217314,-0.621367476786683,0.7542383402384474,0.014159826049567297,-0.9485578163039711,0.7114854943071793,949,1390,3.247863247863248,5.277777777777778
patchtst+timemixer::combo::mean,patchtst+timemixer,2,combo,mean,base,2340,0.014984178949951936,-0.6892915204318286,0.7493504307755923,0.014560033265493981,-0.8837771504584465,0.7283236480113046,467,1872,1.6,2.6
itransformer+wpmixer::gated::gated_q50_left,itransformer+wpmixer,2,gated,gated_q50_left,base,2340,0.014913240020011292,-0.39698840770341715,0.7499110262359968,0.014018031191786889,-0.9237216483299472,0.7055813962242327,983,1356,3.364102564102564,5.466666666666667
wpmixer+timesnet::gated::gated_q50_left,wpmixer+timesnet,2,gated,gated_q50_left,base,2340,0.014862188490626007,0.7137855061178733,0.7515785365608122,0.014030127528210487,-0.7525307946045825,0.7097852628229184,920,1419,3.1487179487179486,5.116666666666666
