year,variant,top1_mean,top1_sharpe,top3_mean,top5_mean,rank_ic,ic,unique_top1,max_rep_top1,avg_regret,hit_true20_rate,avg_overlap_pred20_true20,pred_path
2018,single_head_csrank_topq_v1,0.006755111960619833,0.7781645611171263,0.006669129240730026,0.003738450506107437,0.0054631845897500884,0.028692564924192615,69,64,0.197540488965,0.15289256198347106,1.3636363636363635,test_results/long_term_forecast_market_2018_single_head_csrank_topq_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_single_head_csrank_topq_v1_0/top1_predictions.csv
2018,winner_local_v1,0.013934054892314047,1.4317185219241946,0.0066150336179476585,0.0029222995562479333,-0.02756905286249853,0.0009390134528496903,54,97,0.19036154603330582,0.1487603305785124,1.2272727272727273,test_results/long_term_forecast_market_2018_winner_local_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_local_v1_0/top1_predictions.csv
2018,winner_v1,0.012480093912975207,1.2683810039760193,0.003871978605964188,0.00320639471938843,-0.026998244422599994,0.0018385856291109773,59,99,0.19181550701264463,0.15702479338842976,1.2231404958677685,test_results/long_term_forecast_market_2018_winner_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_v1_0/top1_predictions.csv
2019,single_head_csrank_topq_v1,0.016996767948971196,2.061327380432001,0.0048142816611797,0.005989769014444445,-0.003846929982214509,0.01626626098975316,51,72,0.21286740961481482,0.13991769547325103,1.2551440329218106,test_results/long_term_forecast_market_2019_single_head_csrank_topq_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_single_head_csrank_topq_v1_0/top1_predictions.csv
2019,winner_local_v1,0.004207122114403292,0.41344940885026266,0.00344705003484225,0.0020341813834403298,-0.04146538868491752,0.0031718816073055983,61,44,0.2256570554493827,0.18106995884773663,1.3786008230452675,test_results/long_term_forecast_market_2019_winner_local_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_local_v1_0/top1_predictions.csv
2019,winner_v1,0.005023610311934157,0.4912462874209643,0.00151851220877915,0.0016454074709300415,-0.040532515950183264,0.003606958880974948,55,42,0.22484056725185184,0.18106995884773663,1.3621399176954732,test_results/long_term_forecast_market_2019_winner_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_v1_0/top1_predictions.csv
2020,single_head_csrank_topq_v1,0.015146047640495867,1.2765895064064132,0.007188546766184572,0.0008145924905454551,-0.01096368491996899,0.009527800378700251,52,60,0.27237783571487606,0.2024793388429752,1.2727272727272727,test_results/long_term_forecast_market_2020_single_head_csrank_topq_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_single_head_csrank_topq_v1_0/top1_predictions.csv
2020,winner_local_v1,0.023458009938842974,2.0617505276977357,0.009967402686570247,0.007969951823719009,-0.028718871480042568,0.008075173756553903,47,49,0.26406587341652893,0.19008264462809918,1.0867768595041323,test_results/long_term_forecast_market_2020_winner_local_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_local_v1_0/top1_predictions.csv
2020,winner_v1,0.024179342117644626,2.1335614015832247,0.008810073232947658,0.008171603576694216,-0.027772607965586935,0.008900898703056982,50,50,0.26334454123772727,0.2024793388429752,1.1239669421487604,test_results/long_term_forecast_market_2020_winner_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_v1_0/top1_predictions.csv
2021,single_head_csrank_topq_v1,0.04892835781818182,2.357733208348017,0.02545227232203856,0.017014230447157018,-0.011297616982576884,0.021407859397156816,68,45,0.21523617383471075,0.1652892561983471,1.43801652892562,test_results/long_term_forecast_market_2021_single_head_csrank_topq_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_single_head_csrank_topq_v1_0/top1_predictions.csv
2021,winner_local_v1,0.03800876507995868,1.8640694080013296,0.015442604907548207,0.009669811755109918,-0.04484755489390027,0.003075105025920508,37,55,0.22615576657293388,0.15289256198347106,0.8884297520661157,test_results/long_term_forecast_market_2021_winner_local_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_local_v1_0/top1_predictions.csv
2021,winner_v1,0.04872162961417355,2.379617017743574,0.01632463622342975,0.010340019093374378,-0.04470428979297695,0.0035693367228631797,47,57,0.21544290203871902,0.19008264462809918,0.8801652892561983,test_results/long_term_forecast_market_2021_winner_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_v1_0/top1_predictions.csv
2022,single_head_csrank_topq_v1,0.0026503566829875515,0.43024212760881914,0.0021633725484508986,0.00018418166765975087,-0.02022065882542676,0.0032381006626559868,80,51,0.22783846564066387,0.12863070539419086,1.5684647302904564,test_results/long_term_forecast_market_2022_single_head_csrank_topq_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_single_head_csrank_topq_v1_0/top1_predictions.csv
2022,winner_local_v1,0.006657681642199173,1.2899273991107967,-0.0006640837485020744,-0.0012609226244157676,-0.060577645527418914,-0.012462474354436284,50,48,0.2238311406814523,0.11618257261410789,0.9128630705394191,test_results/long_term_forecast_market_2022_winner_local_v1_Transformer_Transformer_market_daily_ftMS_sl20_ll0_pl1_dm64_nh4_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_winner_local_v1_0/top1_predictions.csv
